Dataset using: ../Dataset/input.pkl
start training model with fold  0
Test Epoch: 10 | Loss: 1.021 | Test Acc: 0.525
saving last....
Train Epoch:11  |Loss: 1.013 | Train Acc: 0.525
Eval Epoch: 11 | Loss: 1.021 | Eval Acc: 0.550
Test Epoch: 11 | Loss: 1.021 | Test Acc: 0.550
saving best....
Train Epoch:12  |Loss: 1.009 | Train Acc: 0.500
Eval Epoch: 12 | Loss: 1.009 | Eval Acc: 0.525
Test Epoch: 12 | Loss: 1.009 | Test Acc: 0.525
Train Epoch:13  |Loss: 1.000 | Train Acc: 0.533
Eval Epoch: 13 | Loss: 1.024 | Eval Acc: 0.550
Test Epoch: 13 | Loss: 1.024 | Test Acc: 0.550
Train Epoch:14  |Loss: 0.997 | Train Acc: 0.558
Eval Epoch: 14 | Loss: 1.012 | Eval Acc: 0.575
Test Epoch: 14 | Loss: 1.012 | Test Acc: 0.575
saving best....
Train Epoch:15  |Loss: 0.990 | Train Acc: 0.517
Eval Epoch: 15 | Loss: 1.006 | Eval Acc: 0.550
Test Epoch: 15 | Loss: 1.006 | Test Acc: 0.550
Train Epoch:16  |Loss: 0.987 | Train Acc: 0.558
Eval Epoch: 16 | Loss: 1.002 | Eval Acc: 0.575
Test Epoch: 16 | Loss: 1.002 | Test Acc: 0.575
Train Epoch:17  |Loss: 0.981 | Train Acc: 0.567
Eval Epoch: 17 | Loss: 1.011 | Eval Acc: 0.575
Test Epoch: 17 | Loss: 1.011 | Test Acc: 0.575
Train Epoch:18  |Loss: 0.973 | Train Acc: 0.558
Eval Epoch: 18 | Loss: 0.997 | Eval Acc: 0.575
Test Epoch: 18 | Loss: 0.997 | Test Acc: 0.575
Train Epoch:19  |Loss: 0.966 | Train Acc: 0.583
Eval Epoch: 19 | Loss: 0.994 | Eval Acc: 0.575
Test Epoch: 19 | Loss: 0.994 | Test Acc: 0.575
Train Epoch:20  |Loss: 0.963 | Train Acc: 0.567
Eval Epoch: 20 | Loss: 0.988 | Eval Acc: 0.550
Test Epoch: 20 | Loss: 0.988 | Test Acc: 0.550
saving last....
Train Epoch:21  |Loss: 0.955 | Train Acc: 0.558
Eval Epoch: 21 | Loss: 1.022 | Eval Acc: 0.550
Test Epoch: 21 | Loss: 1.022 | Test Acc: 0.550
Train Epoch:22  |Loss: 0.943 | Train Acc: 0.625
Eval Epoch: 22 | Loss: 0.981 | Eval Acc: 0.475
Test Epoch: 22 | Loss: 0.981 | Test Acc: 0.475
Train Epoch:23  |Loss: 0.943 | Train Acc: 0.558
Eval Epoch: 23 | Loss: 1.003 | Eval Acc: 0.550
Test Epoch: 23 | Loss: 1.003 | Test Acc: 0.550
Train Epoch:24  |Loss: 0.948 | Train Acc: 0.575
Eval Epoch: 24 | Loss: 0.972 | Eval Acc: 0.525
Test Epoch: 24 | Loss: 0.972 | Test Acc: 0.525
Train Epoch:25  |Loss: 0.931 | Train Acc: 0.575
Eval Epoch: 25 | Loss: 0.994 | Eval Acc: 0.550
Test Epoch: 25 | Loss: 0.994 | Test Acc: 0.550
Train Epoch:26  |Loss: 0.912 | Train Acc: 0.625
Eval Epoch: 26 | Loss: 0.980 | Eval Acc: 0.575
Test Epoch: 26 | Loss: 0.980 | Test Acc: 0.575
Train Epoch:27  |Loss: 0.916 | Train Acc: 0.583
Eval Epoch: 27 | Loss: 0.969 | Eval Acc: 0.525
Test Epoch: 27 | Loss: 0.969 | Test Acc: 0.525
Train Epoch:28  |Loss: 0.918 | Train Acc: 0.567
Eval Epoch: 28 | Loss: 1.006 | Eval Acc: 0.600
Test Epoch: 28 | Loss: 1.006 | Test Acc: 0.600
saving best....
Train Epoch:29  |Loss: 0.900 | Train Acc: 0.608
Eval Epoch: 29 | Loss: 0.974 | Eval Acc: 0.600
